Parámetro,Valor
ti,0.0
tf,40.0
dt,0.01
h_max,15.0
Atv,31.1742
Ao,0.1963
Qin,0.0
g,981.0
Cm,0.78
t_per1,0.0
Qin_per,0.0
t_per2,0.0
V_per,0.0
