Tiempo (s),Altura (cm)
0,23
2,29.22
4,58.21
6,99.20
9,28.19
11,79.18
14,49.17
16,98.16
19,89.15
22,89.14
25,79.13
28,79.12
31,79.11
35,79.10
38,69.9
42,39.8
46,28.7
50,09.6
54,79.5
59,79.4
65,09.3
71,98.2
79,48.1
94,09.0
